ProductID,ProductName,Category,Price,Quantity,StoreLocation,DateAdded
83,Noise-Canceling Earbuds,Audio,79.99,71,Iowa,2025-05-27
84,Fleece Throw Blanket,Home,29.99,23,Louisiana,2024-08-30
85,Classic Chicken Noodle Soup,Food - Canned Goods,3.49,13,Florida,2025-07-05
86,Poppy Seed Dressing,Food - Condiments,3.49,79,Oregon,2025-06-27
87,Smart LED Desk Lamp,Office,39.99,95,Minnesota,2024-09-13
88,Children's Musical Instrument Set,Toys,39.99,10,Oklahoma,2024-12-07
89,Baked Falafel Balls,Food - Frozen Vegetables,5.99,49,Pennsylvania,2024-09-21
90,Puffer Winter Coat,Clothing - Outerwear,99.99,66,Washington,2025-03-01
91,Pet Carrier Backpack,Pets,39.99,15,Virginia,2025-06-03
92,Adjustable Laptop Stand,Office,29.99,69,Florida,2025-06-13
93,Multi-Cooker,Kitchen,89.99,16,New Jersey,2025-04-10
94,Electric Butter Churn,Kitchen,49.99,98,Florida,2025-07-19
95,Baked Mac and Cheese,Food - Frozen Foods,5.99,97,New York,2025-01-03
96,Organic Fruit Salad,Food - Produce,4.49,100,Indiana,2025-06-30
97,Cocoa Powder,Food - Baking,3.99,41,Florida,2025-08-11
98,Pasta Maker Machine,Kitchen,59.99,46,North Carolina,2025-01-19
99,Lightweight Backpacking Tent,Outdoor,129.99,31,Virginia,2025-04-12
100,Handheld Shower Head,Bathroom,34.99,68,North Carolina,2025-08-10
101,Frozen Broccoli,Food - Frozen,2.49,97,Texas,2025-02-23
102,Eco-Friendly Notepad,Office,8.99,16,Maryland,2024-12-02
103,Wireless Charging Station,Electronics,39.99,42,Connecticut,2025-04-07
104,Beef Taco Skillet,Food - Meal Kits,8.49,41,Texas,2024-11-06
105,Sweet Potato Mash,Food - Frozen Foods,3.99,88,Louisiana,2025-07-09
106,Pasta Maker Machine,Kitchen,59.99,30,Louisiana,2025-03-31
107,Wall Planner,Office,19.99,76,Alabama,2025-02-05
108,Almond Joy Munch Bars,Food - Snacks,1.39,68,Arizona,2024-09-13
109,Peach Slices (canned),Food - Canned Goods,2.49,60,Colorado,2025-03-21
110,Bamboo Cutting Board Set,Kitchen,34.99,12,Georgia,2025-07-02
111,Fitness Balance Ball,Fitness,24.99,43,Illinois,2025-07-31
112,Dual Function Electric Skillet,Kitchen,59.99,44,Ohio,2025-07-21
113,Electric Meat Grinder,Kitchen,89.99,64,Texas,2025-07-15
114,Spicy Salsa Verde,Food - Condiments,3.49,93,Texas,2024-11-02
115,Organic Green Lentils,Food - Grocery,3.99,79,Illinois,2025-06-30
116,Stylish Combat Boots,Clothing - Shoes,99.99,34,Louisiana,2024-10-21
117,Over-The-Door Shoe Organizer,Home,25.99,66,Idaho,2025-05-16
118,Car Phone Mount,Automotive,15.99,20,Wisconsin,2024-10-24
119,Chili Garlic Sauce,Food - Condiments,2.49,31,Nebraska,2025-07-04
120,Electric Butter Churn,Kitchen,49.99,20,Georgia,2025-04-18
121,Wireless Smart Plug,Smart Home,19.99,81,Alabama,2024-10-11
122,Solar Garden Lights,Outdoor,39.99,40,Ohio,2025-01-07
123,Balsamic Vinegar,Food - Condiments,4.99,14,Hawaii,2025-02-16
124,Portable Pet Pooper Scooper,Pets,12.99,9,District of Columbia,2024-09-24
125,Ice Cream Scoop,Kitchen,12.99,79,Ohio,2025-03-29
126,Spicy Garlic Edamame,Food - Snacks,3.99,64,Washington,2024-10-01
127,Watering Can with Nozzle,Garden,19.99,95,California,2025-07-26
128,Brussels Sprouts,Food - Produce,3.49,78,California,2024-09-09
129,Balsamic Glazed Brussels Sprouts,Food - Vegetables,4.99,48,Idaho,2025-04-20
130,Poppy Seed Dressing,Food - Condiments,3.49,83,Connecticut,2025-02-21
131,Oven-Baked Parmesan Zucchini,Food - Frozen Vegetables,4.99,62,Texas,2025-03-19
132,Infrared Thermometer Gun,Health,29.99,93,Louisiana,2024-12-01
133,Chicken Fajita Kit,Food - Prepared Foods,8.99,7,Louisiana,2024-12-02
134,Italian Herbal Seasoning,Food - Spices,1.99,12,Alabama,2025-07-29
135,Aeropress Coffee Maker,Kitchen,29.99,71,South Carolina,2024-12-25
136,Jasmine Rice,Food - Grains,2.39,72,Oklahoma,2024-12-16
137,Comfortable Bed Pillow,Home,24.99,89,New York,2025-07-27
138,Flavored Rice Cakes,Food - Snacks,2.49,31,Nevada,2024-12-02
139,Smartphone Gimbal Stabilizer,Photography,89.99,20,Arizona,2025-07-17
140,Chili Beans (canned),Food - Canned Goods,1.69,13,Washington,2024-11-25
141,Suction Cup Hooks,Home,9.99,92,Tennessee,2024-08-22
142,Smartphone Tripod,Photography,29.99,91,Florida,2024-09-19
143,Spiralizer,Kitchen,22.99,91,Illinois,2024-12-19
144,Puffer Winter Coat,Clothing - Outerwear,99.99,44,Kansas,2025-02-03
145,Artisan Bread Loaf,Food - Bakery,3.99,51,California,2024-09-14
146,Foam Building Blocks for Kids,Toys,22.99,49,Texas,2025-06-11
147,Vanilla Bean Greek Yogurt,Food - Dairy,1.99,64,Arizona,2024-10-03
148,Caramel Sauce,Food - Condiments,3.49,100,New York,2025-02-08
149,Solar Power Bank,Electronics,39.99,33,Tennessee,2025-03-24
150,Pet Grooming Brush,Pets,19.99,16,Arizona,2025-02-05
151,Buffalo Cauliflower Bites,Food - Freezer,6.29,80,Alabama,2025-01-06
152,Organic Quinoa Chips,Food - Snacks,3.99,20,Kansas,2025-01-15
153,Electronic Drum Kit,Music,359.99,71,District of Columbia,2025-03-25
154,Garden Tool Set,Garden,34.99,62,Connecticut,2025-01-14
155,Pet First Aid Kit,Pets,29.99,25,Texas,2025-02-09
156,Brown Sugar,Food - Baking,1.79,10,District of Columbia,2024-10-17
157,Electric Stool Heater,Home,29.99,43,California,2025-05-19
158,Handmade Soap Making Kit,Crafts,34.99,95,California,2025-05-30
159,Buttermilk Pancakes,Food - Breakfast,3.99,48,Arkansas,2024-11-11
160,Organic Green Lentils,Food - Grocery,3.99,36,Massachusetts,2025-07-07
161,Ultra-Thin Laptop Sleeve,Accessories,19.99,25,Texas,2025-02-15
162,Cotton Tote Bag Set,Accessories,29.99,53,Utah,2025-06-17
163,Dill Pickle Chips,Food - Condiments,2.29,3,Texas,2025-02-15
164,Ranch Dressing,Food - Condiments,2.59,62,New York,2025-05-07
165,Eco-Friendly Yoga Blocks,Fitness,15.99,80,Minnesota,2024-08-17
166,Indoor Grill,Kitchen,59.99,49,Texas,2025-02-02
167,Coffee Capsule Dispenser,Kitchen,24.99,58,Texas,2024-11-06
168,Chia Seed Pudding Mix,Food - Breakfast,4.19,10,California,2025-03-12
169,Face Mask Set,Health,19.99,63,California,2024-11-24
170,Travel Mug with Leak-Proof Lid,Kitchen,24.99,49,California,2024-09-25
171,Cooking Utensil Set,Kitchen,24.99,80,Kentucky,2025-07-26
172,Belted Trench Coat,Clothing - Outerwear,89.99,87,Idaho,2025-06-30
173,Salsa Verde,Food - Condiments,3.49,48,California,2024-10-26
174,Children's Garden Tool Set,Garden,22.99,52,Florida,2024-12-02
175,Frozen Edamame,Food - Frozen Foods,3.29,31,Florida,2024-12-25
176,Pet Safety Harness,Pets,24.99,32,Alabama,2025-05-25
177,Adjustable Pedicure Footrest,Beauty,39.99,41,Montana,2024-09-05
178,Cooking Utensil Set,Kitchen,24.99,55,Mississippi,2025-01-27
179,Couscous,Food - Grains,2.49,17,District of Columbia,2024-12-06
180,Compact Pop-Up Tent,Outdoor,69.99,21,Texas,2024-08-31
181,Multifunctional Pocket Tool,Tools,19.99,92,District of Columbia,2025-05-07
182,Reusable Food Storage Bags,Kitchen,19.99,31,Texas,2025-04-27
183,Terry Cloth Robe,Clothing - Loungewear,59.99,78,Arizona,2025-07-09
184,Smartphone Tripod with Bluetooth Remote,Photography,29.99,22,Georgia,2024-08-22
185,Bock Beer Mustard,Food - Condiments,2.29,62,Utah,2025-02-01
186,Silicone Baking Mat,Kitchen,15.99,94,Pennsylvania,2024-12-15
187,Cinnamon Ice Cream,Food - Frozen Desserts,4.99,32,Alabama,2025-02-19
188,Coffee Grinder,Kitchen,39.99,90,New Jersey,2025-04-13
189,Organic Italian Seasoning,Food - Spices,2.99,23,California,2024-12-21
190,Collapsible Folding Chair,Outdoor,29.99,35,Florida,2025-05-15
191,Bodyweight Resistance Bands,Fitness,22.99,34,Florida,2025-02-08
192,Solar Charger,Electronics,39.99,65,Kentucky,2024-09-02
193,Lentil Soup,Food - Canned Goods,2.49,95,Kentucky,2025-04-27
194,Hot Salsa,Food - Dips,2.29,26,Texas,2024-08-17
195,Garden Hose Reel,Garden,49.99,75,Nevada,2024-12-02
196,Art Supplies Organizer,Art Supplies,18.99,19,Texas,2024-12-13
197,Portable Pet Stroller,Pets,89.99,66,Florida,2025-05-01
198,Reversible Swimming Pool Lounger,Outdoor,34.99,41,Pennsylvania,2024-09-05
199,Multi-Layer Food Steamer,Kitchen,39.99,23,Illinois,2025-07-10
200,Kettle Corn Popcorn,Food - Snacks,2.99,87,Virginia,2024-11-14
201,Telescope,Outdoor,159.99,36,Washington,2024-12-15
202,Pasta Sauce Mix,Food - Sauces,1.29,53,Georgia,2025-01-10
203,Electric Food Steamer,Kitchen,59.99,34,Texas,2025-05-21
204,Bicycle Lock,Bicycles,29.99,8,District of Columbia,2025-01-25
205,Caramelized Onion Dip,Food - Dairy,3.99,18,Pennsylvania,2025-06-03
206,Teriyaki Tofu Stir-Fry,Food - Prepared Meals,7.49,11,Virginia,2024-11-16
207,Vegetable Spring Rolls,Food - Frozen Foods,6.49,67,Georgia,2025-06-14
208,Himalayan Salt Grinder,Food - Spices,4.99,71,Texas,2024-11-11
209,Fashionable Fanny Pack,Clothing - Accessories,24.99,19,New Hampshire,2025-01-31
210,Mini Projector for Smartphones,Electronics,99.99,71,District of Columbia,2025-06-21
211,Wine Decanter,Home,34.99,68,Illinois,2024-09-06
212,Interactive Robot Toy,Toys,34.99,81,Arizona,2025-08-11
213,Coconut Milk Yogurt,Food - Dairy Alternatives,2.99,43,Texas,2025-04-10
214,Organic Almond Flour,Food - Baking,6.99,39,Missouri,2025-07-07
215,Air Fryer,Kitchen,79.99,59,Alabama,2024-12-30
216,Luminous Night Light,Home,15.99,93,California,2024-10-27
217,Coconut Curry Chicken,Food - Frozen Foods,9.99,78,New York,2025-06-02
218,Brown Sugar,Food - Baking,1.79,58,Idaho,2025-02-24
219,Beef Taco Skillet,Food - Meal Kits,8.49,67,Texas,2024-12-15
220,Frozen Fruit Medley,Food - Frozen Foods,5.99,97,Florida,2025-04-11
221,Organic Quinoa Chips,Food - Snacks,3.99,65,New Hampshire,2025-02-09
222,Marinated Artichokes,Food - Vegetables,3.79,80,Missouri,2024-10-23
223,Kale and Quinoa Salad,Food - Salads,6.49,87,Utah,2025-05-07
224,Jalapeño Cornbread,Food - Bakery,3.29,62,Virginia,2025-05-09
225,Vegetable Pizza Rolls,Food - Frozen Foods,6.49,26,Florida,2025-01-04
226,Indian Curry Sauce,Food - Condiments,3.69,10,Florida,2025-08-05
227,Teriyaki Chicken Bowl,Food - Prepared Meals,6.49,45,California,2024-12-21
228,Slim Fit Chinos,Clothing - Pants,54.99,34,Georgia,2025-04-10
229,Cranberry Lime Sparkling Water,Food - Beverages,1.5,96,North Dakota,2025-05-13
230,Tattoo Kit,Art Supplies,99.99,78,California,2025-05-07
231,Mini Air Hockey Table,Toys,39.99,19,Missouri,2025-03-16
232,Non-Stick Grill Pan,Kitchen,39.99,93,Texas,2024-09-17
233,Cacao Powder,Food - Baking,4.49,75,California,2025-03-04
234,Bock Beer Mustard,Food - Condiments,2.29,2,Georgia,2025-02-21
235,Italian Breadsticks,Food - Bakery,2.49,72,Ohio,2025-04-30
236,Smart Light Bulbs,Smart Home,34.99,65,Michigan,2025-04-23
237,Wireless Range Extender,Electronics,49.99,13,Missouri,2025-04-30
238,Wireless Game Controller,Gaming,39.99,75,Maryland,2024-10-03
239,Indoor Grill,Kitchen,59.99,76,California,2025-01-30
240,Sweet Potatoes,Food - Produce,0.89,50,New Jersey,2025-01-14
241,Cotton Basic Tank,Clothing - Tops,14.99,45,California,2025-04-15
242,Self-Massaging Pillow,Health,49.99,90,Florida,2024-08-19
243,Sweet Chili Thai Sauce,Food - Condiments,3.49,26,Texas,2025-07-09
244,Dog Frisbee Toy,Pets,10.99,78,California,2024-08-15
245,Fleece Lined Leggings,Clothing,29.99,9,California,2025-03-08
246,Honey Mustard Pretzel Bites,Food - Snacks,3.99,100,Georgia,2024-09-09
247,Camera Lens Cleaning Kit,Photography,14.99,100,North Dakota,2025-08-03
248,Organic Almond Flour,Food - Baking,6.99,11,Texas,2025-03-02
249,Gardening Gloves,Garden,15.99,87,Pennsylvania,2024-10-19
250,Wireless Induction Charger,Electronics,19.99,62,California,2024-10-12
251,Induction Cooktop,Kitchen,89.99,20,Texas,2024-12-01
252,Mayonnaise,Food - Condiments,3.29,93,Washington,2025-02-10
253,Wild Rice & Quinoa Mix,Food - Grains,2.99,18,Connecticut,2025-03-05
254,Sliced Provolone Cheese,Food - Dairy,3.99,44,Alabama,2025-02-17
255,Set of Silicone Cooking Utensils,Kitchen,29.99,19,Virginia,2024-11-25
256,Bluetooth Tracker,Accessories,19.99,10,Minnesota,2025-04-04
257,Pet Food Storage Container,Pets,24.99,15,Iowa,2024-11-01
258,Harvest Grain Salad,Food - Salads,5.49,31,Missouri,2025-06-01
259,Digital Thermostat,Home,59.99,15,Alabama,2025-05-01
260,Wild Rice Pilaf,Food - Grains,3.79,84,Illinois,2024-09-02
261,Organic Baby Carrots,Food - Fresh Produce,2.99,69,California,2024-11-20
262,Coffee Capsule Dispenser,Kitchen,24.99,55,Florida,2024-12-12
263,Classic Watch,Accessories,99.99,21,California,2024-08-30
264,Fall-Themed Table Runner,Home,19.99,9,Arizona,2025-02-07
265,Savory Mushroom Risotto,Food - Gourmet Rice,6.49,81,Nebraska,2024-09-13
266,Classic Leather Wallet,Clothing - Accessories,34.99,77,Virginia,2025-05-13
267,Portable Bluetooth Speaker,Audio,49.99,43,District of Columbia,2024-11-09
268,Blueberry Muffin Mix,Food - Baking,4.29,7,Missouri,2025-07-24
269,Thyme,Food - Fresh Produce,2.49,31,California,2025-03-25
270,Green Smoothie Mix,Food - Beverages,5.99,2,Indiana,2024-12-26
271,Chia Seed Pudding Mix,Food - Breakfast,4.19,48,Indiana,2024-11-20
272,Safety Goggles,Safety,14.99,49,Ohio,2024-09-14
273,Vegan Mayonnaise,Food - Condiments,4.49,8,Texas,2025-06-17
274,Lentil Soup,Food - Canned Goods,2.49,81,Pennsylvania,2024-08-25
275,Crispy Kale Chips,Food - Snacks,2.99,15,Florida,2025-04-22
276,Insulated Lunch Box,Kitchen,24.99,2,Texas,2025-04-15
277,Travel Laundry Bag,Travel,9.99,30,California,2024-08-17
278,Luxury Memory Foam Mattress Topper,Home,129.99,88,Colorado,2024-11-07
279,Wireless Car Charger,Automotive,24.99,39,Alabama,2025-04-25
280,Antique Style Clock,Home,39.99,2,Washington,2025-05-14
281,Overnight Hiking Backpack,Outdoor,79.99,27,New York,2024-12-08
282,Wall Planner,Office,19.99,96,Texas,2025-07-28
283,Jump Rope with Counter,Fitness,12.99,14,Washington,2024-11-21
284,Customizable Wall Calendar,Office,24.99,30,Pennsylvania,2025-01-30
285,Carrot and Celery Sticks,Food - Produce,2.99,31,California,2024-10-08
286,Sketchbook,Art Supplies,14.99,9,Michigan,2025-01-22
287,Chipotle Seasoning Blend,Food - Spices,2.49,61,South Carolina,2025-01-30
288,Garden Tool Belt,Garden,22.99,22,California,2024-09-20
289,Sweet Potato and Chickpea Bowl,Food - Frozen Food,6.49,38,District of Columbia,2025-01-12
290,Vegetable Chips,Food - Snacks,3.99,69,Rhode Island,2024-11-17
291,Yoga Mat,Fitness,25,89,Georgia,2024-10-05
292,Wireless Smart Plug,Smart Home,19.99,16,Iowa,2025-06-27
293,Pineapple Coconut Rice Mix,Food - Grains,3.99,93,Indiana,2025-01-03
294,Carrot Ginger Soup,Food - Soups,4.29,22,California,2025-04-21
295,Shower Curtain Hooks,Home,12.99,3,California,2025-02-14
296,Animal Paw Print Soap Dispenser,Home,16.99,40,Texas,2024-12-06
297,Creamy Garlic Mashed Potatoes,Food - Sides,3.99,93,Ohio,2025-02-11
298,Inflatable Paddle Board,Outdoor,349.99,88,Texas,2025-02-28
299,Classic Slim Fit Shirt,Clothing - Shirts,49.99,29,Ohio,2025-01-19
300,Underwater Camera,Photography,199.99,19,New York,2025-04-26
301,Sesame Oil,Food - Oils & Vinegars,3.99,43,Florida,2024-09-08
302,Greek Yogurt Parfait,Food - Dairy,4.49,73,Mississippi,2025-05-21
303,Garden Vegetable Soup,Food - Canned Goods,3.29,10,California,2025-07-22
304,Creamy Ranch Dressing,Food - Dressings,2.49,67,California,2025-08-09
305,Lemon Garlic Marinade,Food - Condiments,4.29,51,Texas,2025-03-18
306,Glass Food Containers,Kitchen,34.99,51,California,2024-10-17
307,Coconut Granola,Food - Snacks,4.19,57,Colorado,2024-11-14
308,Collapsible Storage Crates,Home,18.99,2,New York,2024-10-23
309,Electric Pressure Cooker,Kitchen,89.99,100,Tennessee,2025-06-01
310,Vegetable Pizza Rolls,Food - Frozen Foods,6.49,48,Texas,2025-01-21
311,Chocolate Fudge Ice Cream,Food - Frozen Desserts,5.99,47,Colorado,2025-04-13
312,Pesto Pasta Sauce,Food - Sauces,3.99,16,Indiana,2025-04-28
313,Pest Control Traps,Home,22.99,37,California,2025-04-18
314,Whole Chicken,Food - Meat,12.99,22,Massachusetts,2024-08-22
315,Video Camera,Electronics,199,13,California,2025-03-14
316,Spicy Italian Sausage,Food - Meat & Seafood,4.99,33,California,2025-05-17
317,Vegetable Broth,Food - Canned Goods,2.29,19,South Carolina,2025-04-23
318,Fitness Mat,Fitness,49.99,49,District of Columbia,2025-07-05
319,Cinnamon Sugar Popcorn,Food - Snacks,2.89,12,Kansas,2024-08-31
320,Ice Cube Tray with Lid,Kitchen,10.99,6,West Virginia,2024-11-10
321,Sooji (Semolina),Food - Baking,1.99,88,Colorado,2024-12-26
322,Honey Glazed Carrots,Food - Produce,3.49,72,New York,2025-05-07
323,Butternut Squash Soup,Food - Soups,3.49,33,Florida,2024-10-06
324,Camera Tripod,Photography,49.99,18,Arizona,2025-03-19
325,Classic Leather Wallet,Clothing - Accessories,34.99,4,Utah,2025-02-04
326,Hot Salsa,Food - Dips,2.29,88,Alabama,2025-05-02
327,Pet Travel Carrier,Pets,39.99,41,West Virginia,2025-01-21
328,Beef Taco Skillet,Food - Meal Kits,8.49,67,California,2025-02-01
329,Digital Stopwatch Timer,Fitness,12.99,1,Ohio,2025-05-05
330,Portable Solar Phone Charger,Electronics,29.99,5,Arizona,2025-04-12
331,Set of Herb Garden Markers,Garden,8.99,34,Kansas,2024-11-23
332,Pet Reflective Vest,Pets,18.99,97,California,2025-03-11
333,Peanut Butter Protein Balls,Food - Snacks,5.29,78,Florida,2025-07-31
334,Thermostatic Shower Valve Kit,Bathroom,39.99,58,Missouri,2025-05-02
335,Compressed Towel Tablets,Travel,12.99,16,California,2025-06-03
336,Phone Screen Protector,Accessories,12.99,36,California,2025-06-12
337,Striped Long Sleeve Shirt,Clothing - Shirts,29.99,85,Alabama,2024-12-27
338,Luxury Bath Robe,Clothing,49.99,34,Florida,2024-12-30
339,3D Night Light,Home,19.99,16,Iowa,2025-03-01
340,Multicolored LED Strip Lights,Home,29.99,10,Texas,2024-09-12
341,Chicken Parmesan Dinner Kit,Food - Frozen Meals,14.99,63,New York,2025-04-25
342,Cat Tree with Scratching Posts,Pets,79.99,73,Florida,2025-07-26
343,Insulated Cooler,Outdoor,39.99,32,California,2025-02-02
344,Interchangeable Watch Bands,Accessories,24.99,35,Georgia,2024-10-24
345,Homestyle Chicken Noodle Soup,Food - Canned Goods,2.99,61,Colorado,2025-03-22
346,Lemon Herb Quinoa,Food - Grains,3.49,10,California,2024-11-08
347,Fitness Mat,Fitness,49.99,68,California,2025-03-24
348,Stainless Steel BBQ Grill Set,Outdoor,49.99,32,New York,2025-03-16
349,Gardening Gloves,Garden,15.99,97,California,2024-09-14
350,Peas (frozen),Food - Frozen Foods,1.89,95,Virginia,2025-02-02
351,Coconut Cream Pie Yogurt,Food - Dairy Alternatives,1.99,57,Wisconsin,2025-02-22
352,Chia Seed Pudding Mix,Food - Breakfast,4.19,47,California,2024-12-04
353,Couscous Mix,Food - Grains,2.49,16,Kentucky,2025-06-21
354,Buffalo Cauliflower Bites,Food - Freezer,6.29,65,California,2025-04-01
355,Robot Vacuum Cleaner,Home Appliances,299.99,27,California,2024-09-24
356,Spaghetti and Meatball Dinner Kit,Food - Meal Kits,7.99,93,Pennsylvania,2024-12-20
357,Carrot Sticks,Food - Produce,2.49,34,West Virginia,2025-06-14
358,Honey Sriracha Chicken Bites,Food - Frozen Foods,7.99,92,Georgia,2025-01-02
359,Cheddar Cheese Slices,Food - Dairy,3.49,93,Illinois,2025-01-22
360,Tuscan Bean Soup,Food - Canned Goods,2.49,33,Florida,2024-12-01
361,Coffee Subscription Service,Food,29.99,84,New York,2024-11-17
362,Maple Glazed Carrots,Food - Prepared Foods,3.29,34,Arizona,2025-01-11
363,Chili Lime Corn Chips,Food - Snacks,2.79,32,Oregon,2024-11-11
364,Indian Curry Sauce,Food - Condiments,3.69,23,New York,2025-07-09
